"Start Time","Track","Series","Hosted Session Name"
"2018.09.18 5:55 PM GMT","Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix","Hosted iRacing",""



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","SIL Säsong 3 - GTE","40141","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"34","93","Ferrari 488 GTE","0","Hosted All Cars Class","140209","140209","Mats Sjoblom","38","55","0","Running","-1:32.515","0","","1:46.434","1:43.332","4","13","11","0","100","0"
"35","93","Ferrari 488 GTE","0","Hosted All Cars Class","324435","324435","Philip Larsson","42","18","0","Running","-1:35.860","0","","1:46.691","1:42.041","3","13","13","0","100","0"
"36","102","Porsche 911 RSR","0","Hosted All Cars Class","278525","278525","Lars Rystedt","44","99","0","Running","-1:37.323","0","","1:46.803","1:42.768","11","13","8","0","100","0"
"37","102","Porsche 911 RSR","0","Hosted All Cars Class","76416","76416","Peter Johansson","43","62","0","Running","-1:39.048","0","","1:46.936","1:42.715","11","13","7","0","100","0"
"38","102","Porsche 911 RSR","0","Hosted All Cars Class","231076","231076","Mikael Engstroem","5","100","0","Running","-1:44.329","0","","1:40.668","1:39.294","2","13","4","0","100","0"
"39","102","Porsche 911 RSR","0","Hosted All Cars Class","230406","230406","Fredrik Stertman","23","87","0","Running","-1 L","0","","1:46.204","1:40.878","3","12","14","0","100","0"
"40","102","Porsche 911 RSR","0","Hosted All Cars Class","154063","154063","Johan Andersson3","4","987","32","Disconnected","-1 L","0","","1:40.981","1:39.320","2","12","5","0","100","0"
"41","102","Porsche 911 RSR","0","Hosted All Cars Class","331739","331739","Christopher Haverland","40","175","0","Running","-1 L","0","","1:48.020","1:43.362","2","12","8","0","100","0"
"42","93","Ferrari 488 GTE","0","Hosted All Cars Class","210826","210826","Magnus Asp","13","2","29","Disqualified","-4 L","0","","1:44.981","1:40.881","8","9","17","0","100","0"
"43","93","Ferrari 488 GTE","0","Hosted All Cars Class","80693","80693","Mattias Norling","14","8","0","Running","-8 L","0","","1:42.179","1:40.073","3","5","8","0","100","0"
"44","92","Ford GT - 2017","0","Hosted All Cars Class","131717","131717","Fredrik Neptun","37","007","32","Disconnected","-12 L","0","","00.000","","","1","0","0","100","0"
