"Start Time","Track","Series","Hosted Session Name"
"2018.09.18 7:20 PM GMT","Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix","Hosted iRacing",""



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","SIL Säsong 3 - GTE","40141","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"34","93","Ferrari 488 GTE","0","Hosted All Cars Class","324435","324435","Philip Larsson","37","18","29","Disqualified","-3 L","0","","1:49.594","1:43.749","18","18","18","0","100","0"
"35","102","Porsche 911 RSR","0","Hosted All Cars Class","143191","143191","Wilhelm Wiberg","9","82","32","Disconnected","-9 L","0","","1:44.923","1:43.174","12","12","15","0","100","0"
"36","102","Porsche 911 RSR","0","Hosted All Cars Class","76416","76416","Peter Johansson","35","62","0","Running","-10 L","0","","1:50.930","1:44.465","2","11","10","0","100","0"
"37","92","Ford GT - 2017","0","Hosted All Cars Class","216544","216544","Daniel Sollo","20","215","29","Disqualified","-11 L","0","","1:45.542","1:43.852","3","10","18","0","100","0"
"38","102","Porsche 911 RSR","0","Hosted All Cars Class","287721","287721","Alejandro Leiro","11","28","32","Disconnected","-12 L","0","","1:45.893","1:44.323","6","9","17","0","100","0"
"39","102","Porsche 911 RSR","0","Hosted All Cars Class","41060","41060","Jonny Wermelin","26","81","32","Disconnected","-13 L","0","","1:45.698","1:43.598","2","8","12","0","100","0"
"40","102","Porsche 911 RSR","0","Hosted All Cars Class","179485","179485","Daniel Öhrn","15","014","32","Disconnected","-18 L","0","","1:46.092","1:43.878","3","3","3","0","100","0"
"41","102","Porsche 911 RSR","0","Hosted All Cars Class","140126","140126","Sebastian Witkowski","17","704","32","Disconnected","-19 L","0","","1:49.943","","","2","8","0","100","0"
"42","93","Ferrari 488 GTE","0","Hosted All Cars Class","319276","319276","Harri Kjellin","31","75","32","Disconnected","-21 L","0","","00.000","","","0","8","0","100","0"
"43","102","Porsche 911 RSR","0","Hosted All Cars Class","154063","154063","Johan Andersson3","30","987","32","Disconnected","-21 L","0","","00.000","","","0","6","0","100","0"
