"Start Time","Track","Series","Hosted Session Name"
"2018.09.11 6:00 PM GMT","Watkins Glen International - Boot","Hosted iRacing",""



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","SIL Säsong 3 - GTE","40141","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"34","93","Ferrari 488 GTE","0","Hosted All Cars Class","210826","210826","Magnus Asp","13","2","0","Running","-2 L","0","","1:47.129","1:42.796","4","24","5","0","100","0"
"35","102","Porsche 911 RSR","0","Hosted All Cars Class","41060","41060","Jonny Wermelin","32","81","0","Running","-2 L","0","","1:46.284","1:44.108","3","24","1","0","100","0"
"36","102","Porsche 911 RSR","0","Hosted All Cars Class","179485","179485","Daniel Öhrn","26","014","0","Running","-3 L","0","","1:58.704","1:44.082","22","23","8","0","100","0"
"37","93","Ferrari 488 GTE","0","Hosted All Cars Class","293407","293407","Pontus Nilsson","39","79","0","Running","-4 L","0","","1:56.167","1:45.865","5","22","11","0","100","0"
"38","93","Ferrari 488 GTE","0","Hosted All Cars Class","230647","230647","Michael Haflidason","21","811","29","Disqualified","-5 L","0","","1:46.497","1:43.000","3","21","19","0","100","0"
"39","102","Porsche 911 RSR","0","Hosted All Cars Class","290615","290615","Jonas Simonsson","25","3","0","Running","-7 L","0","","2:22.975","1:43.667","4","19","8","0","100","0"
"40","102","Porsche 911 RSR","0","Hosted All Cars Class","331739","331739","Christopher Haverland","41","175","32","Disconnected","-9 L","0","","1:54.136","1:46.302","7","17","15","0","100","0"
"41","93","Ferrari 488 GTE","0","Hosted All Cars Class","80693","80693","Mattias Norling","19","8","0","Running","-10 L","0","","2:56.590","1:43.059","3","16","0","0","100","0"
"42","93","Ferrari 488 GTE","0","Hosted All Cars Class","175460","175460","Joakim Svensson","18","119","32","Disconnected","-11 L","0","","1:44.515","1:43.311","3","15","9","0","100","0"
"43","102","Porsche 911 RSR","0","Hosted All Cars Class","233357","233357","Ola Särnkvist","46","70","32","Disconnected","-11 L","0","","1:51.615","1:46.384","11","15","9","0","100","0"
"44","93","Ferrari 488 GTE","0","Hosted All Cars Class","315937","315937","Timmy Nylander","42","456","29","Disqualified","-15 L","0","","1:50.254","1:45.901","5","11","17","0","100","0"
"45","102","Porsche 911 RSR","0","Hosted All Cars Class","278525","278525","Lars Rystedt","43","99","29","Disqualified","-17 L","0","","1:54.244","1:46.092","4","9","17","0","100","0"
"46","92","Ford GT - 2017","0","Hosted All Cars Class","131717","131717","Fredrik Neptun","47","007","29","Disqualified","-18 L","0","","2:02.378","1:48.871","7","8","17","0","100","0"
"47","93","Ferrari 488 GTE","0","Hosted All Cars Class","312061","312061","Albin Nyström","28","310","32","Disconnected","-19 L","0","","2:03.414","1:45.125","6","7","14","0","100","0"
"48","102","Porsche 911 RSR","0","Hosted All Cars Class","76416","76416","Peter Johansson","40","62","32","Disconnected","-21 L","0","","1:48.166","1:45.362","4","5","8","0","100","0"
"49","102","Porsche 911 RSR","0","Hosted All Cars Class","129837","129837","Tobias olsson2","49","91","32","Disconnected","-26 L","0","","00.000","","","0","4","0","100","0"
"50","102","Porsche 911 RSR","0","Hosted All Cars Class","266171","266171","Jonas Melin","50","76","32","Disconnected","-26 L","0","","00.000","","","0","0","0","100","0"
